Change Component Footprint: Designator=E1 Old Footprint=C_3216 New Footprint=C_6032
Change Component Footprint: Designator=E2 Old Footprint=C_3216 New Footprint=C_6032
Change Component Footprint: Designator=E3 Old Footprint=C_3216 New Footprint=C_6032
Change Component Footprint: Designator=E4 Old Footprint=C_3216 New Footprint=C_6032
Change Component Footprint: Designator=E5 Old Footprint=C_3216 New Footprint=C_6032
Change Component Footprint: Designator=E6 Old Footprint=C_3216 New Footprint=C_6032
Change Component Footprint: Designator=E7 Old Footprint=C_3216 New Footprint=C_6032
Change Component Footprint: Designator=E8 Old Footprint=C_3216 New Footprint=C_6032
Change Component Footprint: Designator=E9 Old Footprint=C_3216 New Footprint=C_6032
Change Component Comment : Designator=E9 Old Comment=4.7uF/25V New Comment=4.7uF/16V
Change Component Comment : Designator=E10 Old Comment=10uF/25V New Comment=10uF/16V
Change Component Comment : Designator=E1 Old Comment=10uF/25V New Comment=47uF/16V
Change Component Comment : Designator=E5 Old Comment=10uF/25V New Comment=47uF/16V
Change Component Comment : Designator=E4 Old Comment=47uF/25V New Comment=47uF/16V
Change Component Comment : Designator=E8 Old Comment=47uF/25V New Comment=47uF/16V
Change Component Comment : Designator=E2 Old Comment=100uF/25V New Comment=100uF/16V
Change Component Comment : Designator=E3 Old Comment=100uF/25V New Comment=100uF/16V
Change Component Comment : Designator=E6 Old Comment=100uF/25V New Comment=100uF/16V
Change Component Comment : Designator=E7 Old Comment=100uF/25V New Comment=100uF/16V
